id,dict_code,item_label,item_value,sort_order,status,label_i18n,parent_value
1,audit_status,待审核,0,0,True,"{'en-US': 'Pending', 'zh-CN': '待审核'}",
2,audit_status,已通过,1,1,True,"{'en-US': 'Approved', 'zh-CN': '已通过'}",
3,audit_status,已拒绝,2,2,True,"{'en-US': 'Rejected', 'zh-CN': '已拒绝'}",
4,dev_status,创意构思,ideation,0,True,"{'en-US': 'Ideation', 'zh-CN': '创意构思'}",
16,city,北京,110100,0,True,"{'en-US': 'Beijing', 'zh-CN': '北京'}",BJ
6,dev_status,功能完成,completed,2,True,"{'en-US': 'Completed', 'zh-CN': '功能完成'}",
28,city,重庆,500100,5,True,"{'en-US': 'Chongqing', 'zh-CN': '重庆'}",CQ
32,city,福州,350100,9,True,"{'en-US': 'Fuzhou', 'zh-CN': '福州'}",FJ
54,city,泉州,350500,31,True,"{'en-US': 'Quanzhou', 'zh-CN': '泉州'}",FJ
24,city,百色,451000,1,True,"{'en-US': 'Baise', 'zh-CN': '百色'}",GX
21,honor_type,城市人气,city_star,1,True,"{'en-US': 'City Star', 'zh-CN': '城市人气'}",
34,city,桂林,450300,11,True,"{'en-US': 'Guilin', 'zh-CN': '桂林'}",GX
20,honor_type,社区精选,community_choice,0,True,"{'en-US': 'Community Choice', 'zh-CN': '社区精选'}",
7,dev_status,已可体验,released,3,True,"{'en-US': 'Released', 'zh-CN': '已上线'}",
44,city,兰州,620100,21,True,"{'en-US': 'Lanzhou', 'zh-CN': '兰州'}",GS
36,city,合肥,340100,13,True,"{'en-US': 'Hefei', 'zh-CN': '合肥'}",AH
18,city,深圳,440300,2,True,"{'en-US': 'Shenzhen', 'zh-CN': '深圳'}",GD
5,dev_status,初步原型,prototype,1,True,"{'en-US': 'Prototype', 'zh-CN': '初步原型'}",
30,city,东莞,441900,7,True,"{'en-US': 'Dongguan', 'zh-CN': '东莞'}",GD
31,city,佛山,440600,8,True,"{'en-US': 'Foshan', 'zh-CN': '佛山'}",GD
33,city,广州,440100,10,True,"{'en-US': 'Guangzhou', 'zh-CN': '广州'}",GD
38,city,惠州,441300,15,True,"{'en-US': 'Huizhou', 'zh-CN': '惠州'}",GD
39,city,江门,440700,16,True,"{'en-US': 'Jiangmen', 'zh-CN': '江门'}",GD
53,city,清远,441800,30,True,"{'en-US': 'Qingyuan', 'zh-CN': '清远'}",GD
48,city,南宁,450100,25,True,"{'en-US': 'Nanning', 'zh-CN': '南宁'}",GX
35,city,邯郸,130400,12,True,"{'en-US': 'Handan', 'zh-CN': '邯郸'}",HE
45,city,廊坊,131000,22,True,"{'en-US': 'Langfang', 'zh-CN': '廊坊'}",HE
23,city,安阳,410500,0,True,"{'en-US': 'Anyang', 'zh-CN': '安阳'}",HA
47,city,洛阳,410300,24,True,"{'en-US': 'Luoyang', 'zh-CN': '洛阳'}",HA
26,city,常州,320400,3,True,"{'en-US': 'Changzhou', 'zh-CN': '常州'}",JS
